Nominal Voltage(In Volts),Battery Current(in Amps),Extra Load(In Kgs),Electric vehicle(model),C-rating,No: of Charge cycles(weekly),Age of EV battery(in years),Driving Conditions,Type of Charging,Outside Temperature(in °C),Auxiliary Loads(in %),Reduced Range(in Kms),Output(Breakdown occurence)
48,200,220,Mahindra e2o (P2),1,5,5,Hill Road,DC Fast Charging,-9,17,30,Yes
385,347.6,234,Tesla Model S,1.58,2,4,Highway,Level 2,23,18,17,No
218,104.92,227,MW Motors Luka EV,0.86,1,1,Hill Station,DC Fast Charging,21,16,20,No
396,368.06,216,Audi e-tron 55,1.54,5,4,Highway,DC Fast Charging,34,16,28,No
420,200,209,Tesla Model Y,1,1,2,Rain/Low Visibility,DC Fast Charging,15,5,18,No
400,286.08,212,Nio EC6,1.49,4,4,Highway,Level 2,34,12,25,No
356,100.28,237,Hyundai Kona,0.92,3,3,Highway,Level 2,32,15,17,No
345,120,243,Renault Zoe,0.8,3,5,Hill station,Level 2,2,8,28,No
428,326.97,203,Nio ES8,1.73,4,3,City,Level 1,27,16,22,No
360,15,211,Nissan Leaf,1,2,2,Highway Driving,Level 2,25,7,18,No
231,152.32,235,Ford Focus Electric,1.12,3,3,City,Level 2,22,17,16,No
330,170.66,234,Seat Mii Electric,1.61,1,4,Highway,DC Fast Charging,32,13,17,No
315,160,216,Renault Zoe,1,3,2,Hill,Level 2,10,8,28,No
54,39.52,249,Mahindra e20 (P4),1.52,2,4,City,DC Fast Charging,22,17,18,No
350,226.3092,243,MG ZS,1.78,6,5,Hill Road,DC Fast Charging,43,20,26,Yes
214,145.18,221,MW Motors Luka EV,1.19,3,2,Hill Station,Level 1,27,17,27,No
53,42.38,216,Mahindra e20 (P6),1.63,4,2,Highway,Level 2,30,12,29,No
400,316.03,202,Tesla Model Y,1.69,3,3,City,DC Fast Charging,26,12,23,No
250,85,243,Hyundai Kona,0.75,2,2,City,Level 2,30,10,29,No
57,107,227,Renault twizzy,1,4,3,City,Level 2,-2,10,29,No
375,195.96,243,Kia Soul,0.92,3,3,City,Level 1,25,9,22,No
231,144.16,243,Ford Focus Electric,1.06,4,4,Hill Station,DC Fast Charging,24,12,22,No
356,163.5,216,Hyundai Kona,1.5,1,3,Highway,DC Fast Charging,34,7,23,No
396,358,221,Audi e-tron 55,1.5,2,2,City,DC Fast Charging,25,14,25,No
375,179.27,244,Tesla Model X,0.91,4,3,Hill Road,DC Fast Charging,35,16,30,Yes
350,199.6098,203,MG ZS,1.57,4,4,Hill Road,DC Fast Charging,35,16,28,Yes
49,29.29,235,Mahindra e2o (P2),1.01,5,4,Highway,DC Fast Charging,24,17,28,No
375,217.26,248,Kia Soul,1.02,5,1,Highway,Level 2,25,19,18,No
396,344.16,218,Audi e-tron 55,1.44,2,2,Hill Station,Level 2,24,11,28,No
232,174,235,Ford Focus Electric,1.28,3,4,Highway,Level 1,26,13,25,No
100,40.82,238,Mahindra e20 (P8),1.57,4,1,City,DC Fast Charging,24,18,28,No
54,180,227,Mahindra e2o (P4),1,5,3,City,DC Fast Charging,33,2,29,No
350,310.08,203,Mercedes - Benz EQC,1.36,4,1,Highway,Level 1,26,15,25,No
356,128.62,242,Hyundai Kona,1.18,1,1,City,Level 1,29,19,18,No
350,153.8394,221,MG ZS,1.21,4,3,Hill Road,DC Fast Charging,44,18,26,Yes
52,24.96,219,Mahindra e20 (P6),0.96,1,3,Highway,Level 1,35,16,18,No
396,278.4,223,Nio EC6,1.45,3,3,City,Level 2,26,19,23,No
360,238.74,242,Nissan Leaf,1.73,5,3,City,Level 2,22,4,16,No
350,147.58,217,BMW i3,1.57,2,4,City,Level 2,34,9,29,No
350,316.92,236,Mercedes - Benz EQC,1.39,5,2,Hill Station,Level 1,34,10,25,No
385,301.4,230,Tesla Model S,1.37,5,4,Hill Road,DC Fast Charging,42,16,25,Yes
63,85.6,236,Renault twizzy,0.8,3,2,Hill Station,Level 2,27,9,20,No
383,140.43,232,SoNo motors Sion,1.51,5,3,Highway,Level 2,23,18,18,No
430,130,235,Nissan Leaf,1.2,3,2,City,level 1,15,13,19,No
356,91.56,244,Hyundai Kona,0.84,5,3,City,Level 1,30,13,21,No
380,240,238,Audi e-tron 55,0.96,6,5,Hill Road,DC Fast Charging,41,17,28,Yes
320,86.48,213,Tata Nexon,0.92,3,2,City,Level 1,29,15,25,No
52,44.37,215,Mahindra e2o (P2),1.53,5,3,Hill Station,DC Fast Charging,28,9,15,No
380,358.66,204,Jaguar I-pace,1.58,4,4,Highway,Level 2,25,8,26,No
306,128.26,209,Seat Mii Electric,1.21,4,4,Hill Station,Level 1,33,10,25,No
300,132.99,248,SoNo motors Sion,1.43,3,2,Highway,Level 1,25,18,23,No
356,90.47,207,Hyundai Kona,0.83,5,3,Hill Road,DC Fast Charging,39,16,30,Yes
64,123.05,212,Renault twizzy,1.15,2,1,City,Level 2,20,17,22,No
204,132.98,237,MW Motors Luka EV,1.09,5,5,Hill Road,DC Fast Charging,41,20,26,Yes
364,392.94,236,Nio ES6,1.77,3,3,Highway,Level 1,31,16,19,No
389,120,226,Jaguar I-pace,0.5,2,1,City Traffic,DC Fast Charging,35,5,24,No
60,110,202,Renault twizzy,1,2,1,City,Level 2,20,11,22,No
360,152.72,239,Volkwagen e-Golf,1.66,3,1,City,Level 1,-5,15,22,No
387,235.32,241,Nio ES6,1.06,1,2,Highway,Level 1,26,16,20,No
378,336.87,216,Tesla Model X,1.71,2,3,Hill Station,Level 2,34,18,25,No
381,214.73,221,Tesla Model X,1.09,4,1,Hill Station,DC Fast Charging,20,8,17,No
420,200,226,Tesla Model Y,1,1,2,Rain/Low Visibility,DC Fast Charging,15,5,25,No
362,214.73,228,Tesla Model X,1.09,3,3,Highway,Level 1,24,18,28,No
350,77.28,248,Chevrolet Bolt,1.61,4,1,Highway,Level 2,4,5,16,No
375,266.25,209,Kia Soul,1.25,2,2,Highway,Level 1,23,11,27,No
48,49.88,214,Mahindra e2o (P2),1.72,4,3,Hill Road,DC Fast Charging,41,18,26,Yes
339,137.64,247,SoNo motors Sion,1.48,3,1,Hill Station,Level 2,27,14,18,No
51,43.5,211,Mahindra e2o (P2),1.5,5,1,Highway,DC Fast Charging,35,16,29,No
356,287.62,207,Tesla Model X,1.46,7,5,Hill Road,DC Fast Charging,-5,19,29,Yes
344,93.93,217,SoNo motors Sion,1.01,5,1,Highway,DC Fast Charging,26,15,21,No
200,106.14,204,MW Motors Luka EV,0.87,5,3,Highway,Level 2,31,5,21,No
380,340,238,Tesla Model 3,1,3,2,City,Level 2,11,15,30,No
61,77.04,223,Renault twizzy,0.72,5,3,City,Level 2,22,19,28,No
250,65,249,Nissan Leaf,0.75,5,2,City Daylight,DC Fast Charging,35,7,29,No
355,386.28,249,Nio ES6,1.74,2,1,Hill Station,Level 1,30,15,20,No
48,200,243,Mahindra e2o (P6),1,3,2,City,DC Fast Charging,10,11,19,No
350,319.2,201,Mercedes - Benz EQC,1.4,7,4,Hill Road,DC Fast Charging,44,20,25,Yes
350,85.92,214,Chevrolet Bolt,1.79,4,1,Hill Station,DC Fast Charging,-2,4,24,No
54,49.88,224,Mahindra e2o (P2),1.72,2,1,City,DC Fast Charging,29,12,17,No
350,181.8102,217,MG ZS,1.43,5,3,Hill Road,DC Fast Charging,40,16,29,Yes
387,186.48,212,Nio ES6,0.84,3,1,Highway,DC Fast Charging,22,13,24,No
356,156.96,204,Hyundai Kona,1.44,5,1,Highway,DC Fast Charging,29,12,26,No
352,120,235,BMW I3,1,5,1,Hill Road,DC Fast Charging,41,20,28,Yes
330,336.3,200,Aiways U5,1.77,1,2,Hill Station,DC Fast Charging,26,7,22,No
350,394.44,243,Mercedes - Benz EQC,1.73,2,3,Highway,Level 1,25,7,23,No
500,250,211,Nissan Leaf,1,7,3,City Daylight,DC Fast Charging,40,15,22,No
54,39.52,222,Mahindra e20 (P6),1.52,1,1,Hill Station,DC Fast Charging,30,7,22,No
320,85.54,217,Tata Nexon,0.91,3,3,City,Level 2,31,9,17,No
390,147.58,311,BMW i3,1.57,5,2,Highway,DC Fast Charging,33,10,46,Yes
50,38.22,227,Mahindra e20 (P4),1.47,1,1,Highway,Level 1,35,18,16,No
56,85.6,213,Renault twizzy,0.8,1,2,Highway,Level 2,22,14,18,No
400,160.82,231,Tesla Model Y,0.86,5,4,Hill Road,DC Fast Charging,38,19,26,Yes
320,107.16,212,Tata Nexon,1.14,4,2,City,Level 1,24,19,28,No
395,109.48,225,Volkwagen e-Golf,1.19,5,2,Highway,DC Fast Charging,22,9,27,No
380,245.76,207,Nio EC6,1.28,5,1,Hill Station,DC Fast Charging,28,11,28,No
350,690,249,Tesla Model 3,1.8,4,1,City,DC Fast Charging,20,3,16,No
350,399,204,Mercedes - Benz EQC,1.75,5,2,Highway,Level 2,45,12,15,No
392,238.08,226,Nio EC6,1.24,5,5,Hill Road,DC Fast Charging,43,15,32,Yes
362,295.68,224,Nio EC6,1.54,5,3,Hill Road,DC Fast Charging,39,20,31,Yes
400,73.44,329,Chevrolet Bolt,1.53,2,2,Hill Station,Level 1,20,16,48,Yes
400,240,214,Tesla Model Y,1.2,5,3,Highway,Level 1,26,10,28,No
372,154.38,246,SoNo motors Sion,1.66,5,3,Hill Station,Level 1,33,8,15,No
380,252.5,227,Audi e-tron 55,1.01,3,4,Highway,Level 2,31,4,21,No
345,229.5,221,Renault Zoe,1.53,1,3,Hill Station,Level 1,32,14,27,No
48,200,205,Mahindra e2o (P4),1,3,3,City,DC Fast Charging,10,12,21,No
302,156.88,229,Seat Mii Electric,1.48,5,3,City,Level 1,32,18,30,No
48,36.14,247,Mahindra e20 (P4),1.39,4,4,Hill Station,Level 1,28,12,24,No
100,37.18,249,Mahindra e20 (P8),1.43,1,2,Highway,Level 1,22,10,20,No
350,141,228,BMW i3,1.5,5,1,Hill Station,Level 1,30,11,18,No
360,238.74,228,Nissan Leaf,1.73,7,3,Hill Road,DC Fast Charging,45,20,29,Yes
100,36.66,212,Mahindra e20 (P8),1.41,1,3,Hill Station,Level 1,26,16,16,No
326,178.08,240,Seat Mii Electric,1.68,7,5,Hill Road,DC Fast Charging,40,16,28,Yes
315,205.36,225,Ford Focus Electric,1.51,5,3,Highway,Level 2,25,13,15,No
400,149.6,210,Tesla Model Y,0.8,2,4,City,DC Fast Charging,27,4,21,No
290,143.1,247,Seat Mii Electric,1.35,3,4,Hill Station,Level 1,23,12,30,No
100,42.12,237,Mahindra e20 (P8),1.62,3,2,City,DC Fast Charging,28,15,25,No
62,141.24,202,Renault twizzy,1.32,5,2,Highway,DC Fast Charging,28,9,23,No
356,215,219,Hyundai Kona,0.83,5,3,City,Level 2,22,10,25,No
356,139.52,211,Hyundai Kona,1.28,1,4,Highway,Level 1,24,7,20,No
290,95.4,218,Seat Mii Electric,0.9,7,4,Hill Road,DC Fast Charging,42,16,35,Yes
367,189.12,211,Tesla Model X,0.96,7,4,Hill Road,DC Fast Charging,-6,20,34,Yes
190,106.14,243,MW Motors Luka EV,0.87,4,3,City,Level 1,21,19,17,No
320,150.4,213,Tata Nexon,1.6,2,2,Hill Station,Level 1,23,18,25,No
320,128.78,231,Tata Nexon,1.37,1,4,City,DC Fast Charging,20,14,26,No
330,176.7,239,Aiways U5,0.93,5,3,Highway,Level 1,23,11,17,No
48,35.96,245,Mahindra e2o (P2),1.24,5,3,Hill Road,DC Fast Charging,-8,18,27,Yes
350,380.76,227,Mercedes - Benz EQC,1.67,3,1,City,Level 1,26,18,16,No
350,235,239,Nio EC6,1.23,4,2,Highway,Level 1,23,8,19,No
350,76.32,227,Chevrolet Bolt,1.59,3,1,Hill Station,Level 2,34,7,27,No
425,260.82,246,Nio ES8,1.38,4,4,City,Level 1,29,8,21,No
345,135,232,Renault Zoe,0.9,2,3,City,Level 2,29,13,24,No
365,720,209,Tesla Model S,1.8,4,3,City,DC Fast Charging,29,5,16,No
393,128.8,250,Volkwagen e-Golf,1.4,5,4,City,DC Fast Charging,28,4,25,No
396,328.32,249,Nio EC6,1.71,3,2,Hill Station,DC Fast Charging,27,19,15,No
330,93.93,245,SoNo motors Sion,1.01,5,4,Highway,Level 2,33,6,29,No
43,140,206,MG ZS,1,4,1,hill station,DC Fast Charging,10,8,29,No
375,355,210,Tesla Model S,1.5,3,1,Normal driving in City Traffic,Level 2,40,15,21,No
356,191.84,241,Hyundai Kona,1.76,5,4,Hill Station,DC Fast Charging,21,14,25,No
360,194.58,234,Nissan Leaf,1.41,4,2,Highway,Level 2,32,5,20,No
400,294.84,310,Nio ES8,1.56,5,3,City,DC Fast Charging,25,18,50,Yes
345,148.5,212,Renault Zoe,0.99,4,5,Hill Road,DC Fast Charging,-10,18,26,Yes
385,213.4,220,Tesla Model S,0.97,2,2,Highway,Level 1,30,13,24,No
356,92.65,232,Hyundai Kona,0.85,4,4,City,Level 2,35,10,30,No
56,62.06,246,Renault twizzy,0.58,5,2,Hill Station,Level 1,29,8,18,No
367,241.98,215,Nio ES6,1.09,4,3,Hill Road,DC Fast Charging,-2,19,27,Yes
354,261.12,209,Nio EC6,1.36,2,2,City,Level 2,27,4,28,No
298,85.86,204,Seat Mii Electric,0.81,2,4,Hill Station,DC Fast Charging,34,11,26,No
350,58.56,249,Chevrolet Bolt,1.22,1,3,Hill Station,Level 2,21,17,15,No
356,120.99,210,Hyundai Kona,1.11,3,4,Highway,Level 2,26,5,30,No
380,100,201,MG ZS,1,1,2,City,DC Fast Charging,25,5,22,No
360,80,218,BMW i3,1,1,2,Highway Driving,DC Fast Charging,30,10,23,No
380,263.32,242,Jaguar I-pace,1.16,1,1,Highway,DC Fast Charging,21,10,25,No
350,323.76,205,Mercedes - Benz EQC,1.42,1,4,City,DC Fast Charging,-5,14,20,No
318,151.59,239,SoNo motors Sion,1.63,2,4,City,Level 1,28,17,25,No
380,342.5,200,Audi e-tron 55,1.37,5,3,Hill Station,Level 1,32,6,24,No
320,94.375,234,Tata Nexon,1,2,1,City,DC Fast Charging,35,17,28,No
54,25.48,226,Mahindra e20 (P4),0.98,4,1,City,Level 1,29,6,30,No
461,156.87,219,Nio ES8,0.83,2,3,Hill Station,Level 2,33,12,20,No
380,437.5,225,Audi e-tron 55,1.75,3,3,Highway,Level 2,32,9,20,No
400,180,244,Tesla Model Y,1.3,2,3,Rain/Low Visibility,DC Fast Charging,14,7,21,No
345,133.5,245,Renault Zoe,0.89,4,3,Hill Road,DC Fast Charging,37,20,29,Yes
334,139.92,239,Seat Mii Electric,1.32,6,5,Hill Road,DC Fast Charging,45,18,25,Yes
48,44.98,225,Mahindra e20 (P4),1.73,3,4,City,DC Fast Charging,34,14,27,No
375,750,225,Tesla Model S,2,3,1,City,DC Fast Charging,22,5,18,No
320,125.12,315,Ford Focus Electric,0.92,4,4,Hill Station,Level 1,32,15,48,Yes
380,324.61,230,Jaguar I-pace,1.43,5,4,Hill Road,DC Fast Charging,42,15,27,Yes
415,215.46,207,Nio ES8,1.14,1,1,Hill Station,Level 2,21,8,18,No
373,125.12,240,Volkwagen e-Golf,1.36,1,3,Highway,DC Fast Charging,25,13,29,No
330,266,229,Aiways U5,1,3,2,City,DC Fast Charging,35,13,29,No
58,107,246,Renault twizzy,1,4,2,Hill Road,DC Fast Charging,39,16,34,Yes
394,112.94,208,MG ZS,1,2,0.5,City,DC Fast Charging,25,10,17,No
51,46.8,232,Mahindra e20 (P6),1.8,2,2,Highway,Level 1,20,5,27,No
396,322.65,227,Audi e-tron 55,1.35,2,4,Hill Station,DC Fast Charging,24,8,25,No
306,224.4,224,Ford Focus Electric,1.65,2,3,City,Level 1,29,17,26,No
350,228,203,Mercedes - Benz EQC,1,1,6,City,DC Fast Charging,-10,15,30,No
375,155.31,230,SoNo motors Sion,1.67,5,3,Highway,Level 2,31,15,23,No
299,173.84,210,Seat Mii Electric,1.64,4,5,Hill Road,DC Fast Charging,-9,20,34,Yes
350,362.52,229,Mercedes - Benz EQC,1.59,5,5,Hill Road,DC Fast Charging,39,20,27,Yes
400,315,241,Tesla Model Y,1.69,3,1,Hill Station,Level 2,27,11,23,No
400,316.03,246,Tesla Model Y,1.69,3,1,Hill Station,Level 2,27,11,29,No
396,339.38,243,Audi e-tron 55,1.42,3,1,City,Level 2,25,11,26,No
53,30.16,235,Mahindra e2o (P2),1.04,2,1,Highway,Level 1,28,14,15,No
380,330,224,Audi e-tron 55,1.32,5,3,Hill Station,Level 1,31,4,28,No
284,235.28,216,Ford Focus Electric,1.73,2,1,Highway,Level 1,20,18,19,No
500,200,204,Nissan Leaf,1.5,5,2,Hill Road,Level 1,45,20,16,No
350,153.8394,245,MG ZS,1.21,2,4,Hill Station,DC Fast Charging,34,6,24,No
360,173.88,221,Nissan Leaf,1.26,1,2,Hill Station,Level 2,30,18,30,No
336,82.77,247,SoNo motors Sion,0.89,2,3,Hill Station,DC Fast Charging,28,11,20,No
57,67.41,211,Renault twizzy,0.63,2,1,City,Level 2,4,12,29,No
400,187,246,Tesla Model Y,1,2,3,Hill Station,Level 1,29,19,29,No
370,300,221,Tesla Model Y,1.1,2,2,Highway,DC Fast Charging,23,10,26,No
350,128.78,224,BMW i3,1.37,2,4,Hill Station,Level 1,21,18,28,No
300,120,201,Volkwagen e-Golf,1.3,3,3,Hill Station,Level 2,20,13,21,No
347,129.32,217,Seat Mii Electric,1.22,4,4,Hill Station,Level 1,35,9,29,No
330,277.4,241,Aiways U5,1.46,5,5,Hill Road,DC Fast Charging,-10,17,32,Yes
72,200,213,Mahindra e2o (P8),1,3,3,City,DC Fast Charging,10,9,17,No
466,262.71,211,Nio ES8,1.39,4,3,Hill Road,DC Fast Charging,44,17,32,Yes
350,72.96,227,Chevrolet Bolt,1.52,5,4,Highway,Level 2,34,16,24,No
330,197.6,202,Aiways U5,1.04,1,3,City,Level 1,29,4,19,No
51,34.32,219,Mahindra e20 (P6),1.32,3,3,Hill Station,DC Fast Charging,22,4,26,No
425,261,241,Nio ES8,1.38,4,4,Rain/Low Visibility,Level 1,29,8,30,No
61,119.84,215,Renault twizzy,1.12,1,1,Highway,Level 2,22,6,26,No
327,140.76,244,Volkwagen e-Golf,1.53,2,3,Hill Station,Level 1,31,11,26,No
350,150.0252,238,MG ZS,1.18,1,3,Hill Station,Level 2,30,7,22,No
49,25.74,210,Mahindra e20 (P4),0.99,2,1,Highway,Level 2,21,10,26,No
396,239,238,Audi e-tron 55,1,3,3,Hill Station,Level 1,24,19,25,No
350,105.5262,249,MG ZS,0.83,2,2,Hill Station,DC Fast Charging,24,6,16,No
396,224.64,247,Nio EC6,1.17,2,4,City,DC Fast Charging,24,14,23,No
385,184.8,224,Tesla Model S,0.84,2,2,City,Level 1,32,13,29,No
49,44.72,215,Mahindra e20 (P6),1.72,3,4,City,DC Fast Charging,30,5,19,No
396,413.47,216,Audi e-tron 55,1.73,5,1,City,Level 2,34,4,23,No
201,143.96,217,MW Motors Luka EV,1.18,5,1,City,Level 2,28,6,22,No
213,128.1,240,MW Motors Luka EV,1.05,3,2,Hill Station,Level 2,20,14,26,No
345,193.5,227,Renault Zoe,1.29,4,1,Hill Station,Level 2,28,6,30,No
360,216.66,216,Nissan Leaf,1.57,2,2,Highway,DC Fast Charging,29,12,28,No
356,110.09,212,Hyundai Kona,1.01,5,2,City,DC Fast Charging,34,10,16,No
356,120.99,235,Hyundai Kona,1.11,3,4,Hill Station,Level 2,26,5,30,No
368,332.16,248,Nio EC6,1.73,2,3,Hill Station,Level 1,28,9,18,No
390,50.4,306,Chevrolet Bolt,1.05,2,3,City,DC Fast Charging,6,9,41,Yes
385,354.2,213,Tesla Model S,1.61,2,2,City,Level 1,31,7,22,No
352,120,200,BMW I3,0.5,7,5,Hill Road,DC Fast Charging,-4,18,31,Yes
360,230,228,Nissan Leaf,2.08,1,2,Hill Station,Level 2,31,12,20,Yes
350,289.59,236,Tesla Model X,1.47,4,4,Hill Road,DC Fast Charging,44,18,31,Yes
380,230,226,Audi e-tron 55,0.92,4,2,Highway,Level 2,24,18,23,No
48,27.82,240,Mahindra e20 (P6),1.07,1,4,Hill Station,Level 1,34,11,21,No
259,193.12,228,Ford Focus Electric,1.42,7,3,Hill Road,DC Fast Charging,41,17,31,Yes
330,254.6,244,Aiways U5,1.34,2,1,City,DC Fast Charging,25,19,27,No
396,401.52,213,Audi e-tron 55,1.68,3,3,City,Level 2,20,14,16,No
396,267.68,208,Audi e-tron 55,1.12,2,2,Hill Station,DC Fast Charging,35,11,26,No
350,195.7956,228,MG ZS,1.54,7,5,Hill Road,DC Fast Charging,-5,16,30,Yes
350,300,245,Tesla Model 3(Std range plus),1,7,3,Hill Road,DC Fast Charging,42,18,31,Yes
330,266,240,Aiways U5,1.4,1,3,City,Level 2,34,17,18,No
385,310.2,215,Tesla Model S,1.41,3,4,City,Level 2,26,15,29,No
352,120,240,BMW I3,0.5,2,1,Highway,Level 1,30,10,16,No
345,150,229,Renault Zoe,1,2,20,City,DC Fast Charging,-10,15,26,No
196,170.8,201,MW Motors Luka EV,1.4,4,5,Hill Road,DC Fast Charging,-6,15,27,Yes
54,45.24,224,Mahindra e2o (P2),1.56,1,2,Highway,DC Fast Charging,-12,11,15,No
372,350.66,231,Tesla Model X,1.78,2,4,City,Level 2,31,8,18,No
350,180,242,MG ZS,2.2,2,3,City,Level 2,24,10,26,Yes
350,122.2,212,BMW i3,1.3,5,3,Hill Road,DC Fast Charging,40,15,30,Yes
51,26.26,221,Mahindra e20 (P6),1.01,3,2,Highway,DC Fast Charging,25,9,23,No
379,395.16,232,Nio ES6,1.78,4,5,Hill Road,DC Fast Charging,39,17,25,Yes
465,272.16,249,Nio ES8,1.44,3,2,Highway,DC Fast Charging,28,17,15,No
378,342.78,216,Tesla Model X,1.74,2,1,City,Level 1,29,14,22,No
360,150,228,Nissan Leaf,1,6,3,Hill Road,DC Fast Charging,35,17,32,Yes
340,120,249,Kia Soul,2,4,4,City,DC Fast Charging,12,6,22,No
360,113.16,211,Nissan Leaf,0.82,5,3,Hill Station,DC Fast Charging,25,14,24,No
389,257.52,221,Nio ES6,1.16,6,4,Hill Road,DC Fast Charging,41,19,35,Yes
338,165.6,205,Volkwagen e-Golf,1.8,1,4,Highway,Level 2,33,8,19,No
346,86.49,225,SoNo motors Sion,0.93,5,2,Highway,DC Fast Charging,21,15,28,No
268,131.92,214,Ford Focus Electric,0.97,7,3,Hill Road,DC Fast Charging,36,19,28,Yes
49,82,215,Mahindra e2o (P2),2.23,1,4,Highway,Level 2,25,15,21,Yes
475,250,213,Nissan Leaf,1,5,2,City,DC Fast Charging,40,15,18,No
368,97.52,214,Volkwagen e-Golf,1.06,4,1,City,DC Fast Charging,-5,9,22,No
197,161.04,216,MW Motors Luka EV,1.32,4,4,City,DC Fast Charging,29,7,25,No
356,161.32,229,Hyundai Kona,1.48,5,3,Hill Road,DC Fast Charging,42,17,35,Yes
50,43,209,Mahindra e20 (P8),1.5,3,3,Suburban,DC Fast Charging,30,9,24,No
350,300.96,241,Mercedes - Benz EQC,1.32,7,5,Hill Road,DC Fast Charging,35,19,25,Yes
350,51.36,207,Chevrolet Bolt,1.07,2,3,Highway,DC Fast Charging,8,11,23,No
385,193.6,209,Tesla Model S,0.88,2,3,Highway,DC Fast Charging,31,12,25,No
396,130.64,244,Volkwagen e-Golf,1.42,4,3,Highway,Level 1,30,4,26,No
350,90.24,207,BMW i3,0.96,5,4,Hill Road,DC Fast Charging,-4,15,35,Yes
314,187.68,211,Ford Focus Electric,1.38,3,1,Hill Station,Level 2,26,19,15,No
360,161.68,313,Tata Nexon,1.72,3,3,Highway,Level 1,24,9,49,Yes
378,146.28,235,Volkwagen e-Golf,1.59,4,4,Highway,Level 1,35,18,20,No
55,117.7,216,Renault twizzy,1.1,1,3,Hill Station,DC Fast Charging,22,15,25,No
375,390,230,Tesla Model S,2.05,3,1,Hillway Driving,Level 1 ,40,15,24,Yes
381,352.63,240,Tesla Model X,1.79,3,1,City,DC Fast Charging,23,10,27,No
347,152.72,230,Volkwagen e-Golf,1.66,6,3,Hill Road,DC Fast Charging,44,19,29,Yes
361,280,237,Hyundai Ioniq,0.5,5,5,Hill Road,DC Fast Charging,-11,19,25,Yes
298,137.8,233,Seat Mii Electric,1.3,6,5,Hill Road,DC Fast Charging,45,16,25,Yes
400,224.4,228,Tesla Model Y,1.2,5,3,Hill Road,DC Fast Charging,38,18,29,Yes
297,174.9,241,Seat Mii Electric,1.65,7,5,Hill Road,DC Fast Charging,41,16,26,Yes
350,160.1964,237,MG ZS,1.26,3,2,Highway,Level 2,-4,13,15,No
276,145.52,231,Ford Focus Electric,1.07,6,3,Hill Road,DC Fast Charging,37,19,28,Yes
380,351.85,248,Jaguar I-pace,1.55,5,3,Hill Road,DC Fast Charging,43,18,30,Yes
375,244.95,207,Kia Soul,1.15,4,4,City,Level 1,30,15,29,No
380,335,244,Audi e-tron 55,1.34,4,1,Hill Road,DC Fast Charging,45,19,26,Yes
293,130,220,Seat Mii Electric,2.34,5,2,Highway,Level 2,25,13,28,Yes
356,165.68,236,Hyundai Kona,1.52,7,3,Hill Road,DC Fast Charging,42,15,31,Yes
360,241.5,213,Nissan Leaf,1.75,2,4,City,Level 1,25,6,24,No
375,281.16,232,Kia Soul,1.32,3,1,City,Level 2,28,4,17,No
400,282.24,213,Nio EC6,1.47,1,4,Hill Station,Level 1,27,5,15,No
333,146.28,212,Seat Mii Electric,1.38,3,4,City,Level 2,21,12,28,No
365,400,206,Tesla Model S,1.5,3,3,City,Level 1,47,15,25,No
360,242.88,221,Nissan Leaf,1.76,2,3,Hill Station,Level 1,21,8,23,No
54,30.94,232,Mahindra e20 (P4),1.19,4,4,Hill Road,DC Fast Charging,45,17,30,Yes
345,238.5,208,Renault Zoe,1.59,3,3,Highway,Level 2,26,7,24,No
368,157.17,200,SoNo motors Sion,1.69,2,4,Highway,Level 1,-7,5,30,No
323,103.23,207,SoNo motors Sion,1.11,7,4,Hill Road,DC Fast Charging,40,16,25,Yes
410,120,240,Audi e-tron 55,1.1,2,3,Suburban,Level 2,30,12,29,No
48,40.31,246,Mahindra e2o (P2),1.39,1,4,Hill Station,Level 2,35,7,27,No
371,188.7,246,Nio ES6,0.85,5,3,Hill Road,DC Fast Charging,43,15,31,Yes
369,108.56,250,Volkwagen e-Golf,1.18,1,3,Hill Station,Level 2,31,19,27,No
345,226.5,213,Renault Zoe,1.51,1,1,Hill Station,Level 2,22,16,28,No
219,217.16,243,MW Motors Luka EV,1.78,1,3,City,Level 1,32,18,28,No
380,363.2,248,Jaguar I-pace,1.6,5,2,Hill Station,Level 1,31,5,28,No
356,111.18,241,Hyundai Kona,1.02,5,2,Highway,DC Fast Charging,24,12,16,No
360,238.75,242,Nissan Leaf,1.73,4,1,Rain/Low Visibility,Level 2,21,13,27,No
385,365.2,235,Tesla Model S,1.66,1,3,Hill Station,Level 1,20,10,21,No
330,290.7,247,Aiways U5,1.53,7,3,Hill Road,DC Fast Charging,42,19,26,Yes
400,291.72,245,Tesla Model Y,1.56,1,1,Hill Station,Level 1,24,16,17,No
360,111.78,204,Nissan Leaf,0.81,5,3,Highway,DC Fast Charging,25,8,26,No
375,366.36,246,Kia Soul,1.72,5,3,Hill Station,Level 2,35,11,28,No
309,129.72,236,Volkwagen e-Golf,1.41,1,2,City,Level 2,29,12,24,No
396,356.11,225,Audi e-tron 55,1.49,1,4,City,Level 2,21,19,27,No
400,222.53,217,Tesla Model Y,1.19,3,2,Hill Station,Level 2,29,11,24,No
351,250.86,247,Nio ES6,1.13,1,1,Highway,Level 1,20,13,23,No
48,80,231,Mahindra e20 (P6),2,2,4,Highway,Level 2,28,8,23,Yes
288,186.32,223,Ford Focus Electric,1.37,5,2,Highway,DC Fast Charging,24,10,26,No
